siips,aghourian2017-feobv,alarkurtti2015-raclopride,bedard2019-feobv,ding2010-mrb,dubois2015-abp688,dukart2018-flumazenil,dukart2018-fpcit,fazio2016-madam,finnema2016-ucbj,gallezot2010-p943,gallezot2017-gsk189254,hesse2017-methylreboxetine,hillmer2016-flubatine,jaworska2020-fallypride,kaller2017-sch23390,kantonen2020-carfentanil,laurikainen2018-fmpepd2,naganawa2020-lsn3172176,neurosynth-cogpc1,norgaard2020-flumazenil,normandin2015-omar,radnakrishnan2018-gsk215083,rosaneto-abp688,sandiego2015-flb457,sasaki2012-fepe2i,satterthwaite2014-meancbf,savli2012-altanserin,savli2012-dasb,savli2012-p943,savli2012-way100635,smart2019-abp688,smith2017-flb457,tuominen-feobv,turtonen2020-carfentanil
-0.019677615,23.37608,20.031320718559062,5.916841,0.014719771,2.112244,50.470233842692856,27.136482128835894,3.6645189868472006,2.5980158,0.9222533,19.718927,9.598921757244772,10.923922,0.5548072519121016,11.146146898087041,22.16475517215369,8.808676328869296,2.9430602,-0.0009002574308360816,515.9004,1.2591276,0.45579708,3.2583473,0.70079994,0.15746023,45.55873910853467,43.11464719714019,1.2569370154926414,24.476042156262903,24.376064330247633,0.704252522046146,0.56179595,1.2569004,1.275791032472043
-0.1187926,29.665747,19.4882649727987,8.577581,-0.038844142,2.3633249,64.67807106293276,37.98276234612676,12.124732122517221,3.8166404,0.8201588,26.640615,8.58890236617596,9.67905,2.1748885296618057,23.585254911942496,32.446584917683474,9.237275719368485,4.0454245,-0.0019640840051020065,719.94794,1.4520293,0.4362881,3.6211214,1.5855982,0.45039797,61.91797518228779,57.7283682312527,14.30252769827227,27.256360260390586,42.11643010413396,0.9036282017644456,1.832933,1.7910872,1.6481153086961575
-0.026027676,24.55368,19.885372324348825,6.043687,0.02666553,2.257584,56.667652065848216,28.95102559734177,7.315184431772655,1.971104,0.9943735,14.453786,8.23832920443506,10.218698,0.6806042131858783,11.762236373001596,23.341860426983477,9.704619540879888,2.7302818,-0.0011531103325025484,671.89825,1.2915664,0.4480741,3.4972174,0.7965882,0.1991472,61.39088449983502,54.10851588444069,3.4314616108274323,37.3301051121913,22.832166537202625,0.7361247776957748,0.48985565,1.3171808,1.2230801083470444
-0.10375028,28.669899,21.375242870035706,8.587975,-0.07356166,2.0992327,57.42517162881807,46.74067713415234,13.598245532911857,2.9932907,0.65552044,29.006447,5.675589821401965,9.101722,3.367605022524441,20.468207163320347,29.640973996272837,7.469145053139418,3.5719109,-0.002439997334199855,362.29578,1.3497674,0.2936948,2.8542306,2.1280074,0.682833,51.10433687725632,37.420294699468734,20.20935634123206,16.667655176461817,28.55732668404395,0.8151447908921627,2.4523447,1.9378788,1.6111600506215256
0.010564078,16.611712,5.37310510582806,4.162415,-0.24786204,1.0547768,17.815387492863355,13.05416965609855,0.11092691804884859,0.5413327,-0.26244283,11.286306,0.12292284106210409,5.3906026,-0.017004427111885625,-0.00769927203438649,6.545666376461357,3.1623156585691365,-0.40632668,0.00017534192927233503,50.48935,0.8908141,-0.3685954,1.2756789,-0.33286503,-0.19081841,6.824839442768259e-36,0.004141176681859834,1.8064817349186676e-05,-3.371288037966494e-05,0.007715648014638031,-0.09764495733098796,-0.2794153,0.81542253,0.5803662322141789
0.007736621,22.687876,21.270530367367925,5.6390586,9.9390985e-05,2.058765,53.794251354273726,28.86252320590903,3.8701262303043227,2.6748734,0.68719643,12.433227,6.729766109499944,10.006353,0.6453048418857784,11.01790072753697,12.906205492853248,7.974549856004143,3.1243672,-0.0004884625874163717,437.4301,1.171741,0.37909448,3.1340418,0.6267804,0.16190864,51.46723609589717,52.31427970217665,2.111880413119774,32.19387931684951,23.43185934526185,0.6537471806271862,0.6241226,1.1115102,0.8267900987757606
-0.076993935,21.059917,21.00535643969724,6.1191545,0.041944873,2.0649471,62.13400135007031,28.194658169247184,6.006074772510441,3.3093722,0.812476,13.498484,9.839415062606111,9.856614,0.7580074289005034,10.64675783733502,7.573580002774814,7.724107503695076,3.5183353,0.000581016311401477,729.0608,1.2292801,0.4764405,3.114273,0.84033257,0.15285282,45.91992955982231,62.746259010970505,4.660533613731008,36.45264879960299,27.256125621503205,0.6772215360473152,0.6886665,1.2341783,0.5497273036668768
-0.15484823,21.522678,17.60496245360814,5.4805374,0.04721802,2.1861825,59.07722797492191,23.277395704224453,6.286093976570251,3.4776022,1.0183566,14.389629,8.278130826372172,9.580232,0.6520495895460106,6.346842898216233,3.5186839294424894,8.11376445580388,3.9176831,0.00033424914211641966,601.45337,1.2232414,0.3970862,3.41323,0.7031554,0.13129121,62.35978421759965,46.144063997605336,2.071889799124009,27.861820525740665,17.257172259904724,0.5717605064851367,0.63331974,1.1991193,0.3964637402968177
-0.10416779,21.74314,12.131993631168376,5.768528,-0.0955948,2.3296847,47.414941661486715,20.86957027686294,3.802417082776121,3.74203,0.51159346,15.403257,7.879128222195753,8.711885,1.3968750397364298,11.436965096521428,19.468613029025832,6.970859539577074,3.7179222,-0.0016076478543135086,378.0996,1.4387965,0.43777487,3.2285225,1.5918057,0.08974347,36.462499188070424,41.4551962920208,3.6446223755708007,13.392137072070753,30.085365454625062,0.7154571138449884,1.471256,1.0171756,1.0195004139852115
-0.10951522,24.737518,19.752844108319476,6.2002344,0.06983206,2.289937,60.77214209071751,23.788413137085875,6.424449096230646,3.4873855,0.73986393,16.548866,11.750829293815844,9.957675,0.836125928367713,12.293676897201108,22.261466955451617,9.6603346304585,3.7489333,0.001794563656649734,629.35114,1.2797974,0.44103703,3.4502625,0.7570194,0.10541028,53.36388809975313,55.269283267990645,2.229152304237262,26.956344429857506,28.393438106313667,0.8668794817214245,0.63657075,1.2854537,1.0511723433655973
